Month,Type,SumValue
Mar-19,Offences,78937
Apr-19,Offences,74966
May-19,Offences,77401
Jun-19,Offences,76775
Jul-19,Offences,81786
Aug-19,Offences,76688
Sep-19,Offences,76235
Oct-19,Offences,81564
Nov-19,Offences,79027
Dec-19,Offences,74971
Jan-20,Offences,76331
Feb-20,Offences,73328
Mar-20,Offences,65943
Apr-20,Offences,48730
May-20,Offences,57309
Jun-20,Offences,62327
Jul-20,Offences,70626
Aug-20,Offences,70697
Sep-20,Offences,71405
Oct-20,Offences,71444
Nov-20,Offences,64762
Dec-20,Offences,60054
Jan-21,Offences,52784
Feb-21,Offences,52393
Mar-21,Offences,62823
Apr-21,Offences,61981
May-21,Offences,67731
Jun-21,Offences,69949
Jul-21,Offences,71054
Aug-21,Offences,67349
Sep-21,Offences,70318
Oct-21,Offences,76033
Nov-21,Offences,74268
Dec-21,Offences,67365
Jan-22,Offences,68409
Feb-22,Offences,65778
