Month,Type,SumValue
2019-03,Offences,78937
2019-04,Offences,74966
2019-05,Offences,77401
2019-06,Offences,76775
2019-07,Offences,81786
2019-08,Offences,76688
2019-09,Offences,76235
2019-10,Offences,81564
2019-11,Offences,79027
2019-12,Offences,74971
2020-01,Offences,76331
2020-02,Offences,73328
2020-03,Offences,65943
2020-04,Offences,48730
2020-05,Offences,57309
2020-06,Offences,62327
2020-07,Offences,70626
2020-08,Offences,70697
2020-09,Offences,71405
2020-10,Offences,71444
2020-11,Offences,64762
2020-12,Offences,60054
2021-01,Offences,52784
2021-02,Offences,52393
2021-03,Offences,62823
2021-04,Offences,61981
2021-05,Offences,67731
2021-06,Offences,69949
2021-07,Offences,71054
2021-08,Offences,67349
2021-09,Offences,70318
2021-10,Offences,76033
2021-11,Offences,74268
2021-12,Offences,67365
2022-01,Offences,68409
2022-02,Offences,65778
