"Month, Year of Month-Year",Type,Sum Value
March 2019,Offences,78937
April 2019,Offences,74966
May 2019,Offences,77401
June 2019,Offences,76775
July 2019,Offences,81786
August 2019,Offences,76688
September 2019,Offences,76235
October 2019,Offences,81564
November 2019,Offences,79027
December 2019,Offences,74971
January 2020,Offences,76331
February 2020,Offences,73328
March 2020,Offences,65943
April 2020,Offences,48730
May 2020,Offences,57309
June 2020,Offences,62327
July 2020,Offences,70626
August 2020,Offences,70697
September 2020,Offences,71405
October 2020,Offences,71444
November 2020,Offences,64762
December 2020,Offences,60054
January 2021,Offences,52784
February 2021,Offences,52393
March 2021,Offences,62823
April 2021,Offences,61981
May 2021,Offences,67731
June 2021,Offences,69949
July 2021,Offences,71054
August 2021,Offences,67349
September 2021,Offences,70318
October 2021,Offences,76033
November 2021,Offences,74268
December 2021,Offences,67365
January 2022,Offences,68409
February 2022,Offences,65778
